"question_id","chapter","topic","question","A","B","C","D","correct_letter (fill A/B/C/D)"
"1141407","Continuity and Differentiability","Differentiability (XII-5.2)","What is the rate of change of \sqrt{x^2+16} w.r.t. x 2 at x = 3?","\frac {1} {15}","\frac 1 5","\frac 1 {10}","\frac 1 {20}",""
"1153202","Continuity and Differentiability","Differentiability (XII-5.2)","If tan \left(\frac{\text x+\mathrm{y}}{\text x-\mathrm{y}}\right) = k, then \frac{\mathrm{dy}}{\mathrm{d} \text x} is equal to","\frac {-\text y}{\text x}","sec 2 \left(\frac{\mathrm{y}}{\mathrm{x}}\right)","\frac {\text y}{\text x}","-sec 2 \left(\frac{\mathrm{y}}{\mathrm{x}}\right)",""
"1153415","Continuity and Differentiability","Differentiability (XII-5.2)","The value of k for which function f(x) = \begin{cases}\text x^2, & \text x \geq 0 \\ \text {kx}, & \text x<0\end{cases} is differentiable at x = 0 is:","any real number","2","0","1",""
"1686035","Continuity and Differentiability","Differentiability (XII-5.2)","Let f: R \rightarrow R be a function defined by: f(x)= \begin{cases}\max _{t \leq x}\left\{t^{3}-3 t\right\} & ; x \leq 2 \\ x^{2}+2 x-6 & ; 2 \lt x \leq 3 \\ {[x-3]+9} & ; 3 \lt x \leq 5 \\ 2 x+1 & ; x \gt 5\end{cases} where [ t ] is the greatest integer less than or equal to t . Let m be the number of points where f is not differentiable and I=\int_{-2}^{2} f(x) d x . Then the ordered pair ( m, I ) is equal to:","\left(4, \frac{23}{4}\right)","\left(3, \frac{23}{4}\right)","\left(4, \frac{27}{4}\right)","\left(3, \frac{27}{4}\right)",""
"1686943","Continuity and Differentiability","Differentiability (XII-5.2)","For the differentiable function f: {R}-\{0\} \rightarrow {R} . Let 3 f(x)+2 f\left(\frac{1}{x}\right)=\frac{1}{x}-10 , then \left|f(3)+f^{\prime}\left(\frac{1}{4}\right)\right| is equal to","13","\frac{29}{5}","7","\frac{33}{5}",""
"19515","Probability","Conditional Probability (XII-13.1)","A box contains 100 tickets numbered 1, 2, 3,........,100. Two tickets are chosen at random. If it is given that Maximum number on the two chosen tickets is not more than 10, then the probability that the minimum number on them is not less than 5 is,","\frac{2}{3}","\frac{2}{5}","\frac{3}{5}","\frac{1}{3}",""
"230777","Probability","Conditional Probability (XII-13.1)","Assume that each born child is equally likely to be a boy or a girl. If two families have two children each, then the conditional probability that all children are girls given that at least two are girls; is","\frac{1}{10}","\frac{1}{17}","\frac{1}{11}","\frac{1}{12}",""
"230789","Probability","Conditional Probability (XII-13.1)","Let A and B be two non-null events such that A \subset B . Then, which of the following statements is always correct.","P(A/B) = 1","P(A/B) \leq P(A)","P(A/B) = P(B) - P(A)","P(A/B) \ge P{A)",""
"230796","Probability","Conditional Probability (XII-13.1)","Two integers are selected at random from the set {1, 2, .... , 11}. Given that the sum of selected numbers is even, the conditional probability that both the numbers are even is","\frac{2}{5}","\frac{1}{2}","\frac{7}{10}","\frac{3}{5}",""
"230832","Probability","Conditional Probability (XII-13.1)","One Indian and four American men and their wives are to be seated randomly around a circular table. Then, the conditional probability that Indian man is seated adjacent to his wife given that each American man is seated adjacent to his wife, is","\frac{1}{2}","\frac{1}{3}","\frac{2}{5}","\frac{1}{5}",""
"230868","Probability","Conditional Probability (XII-13.1)","If A and B are two independent events such that P(A) > 0, and P(B) \ne 1. then P(\bar{A} / \bar{B}) is equal to","\frac{1-P(A \cup B)}{P(B)}","\frac{P(\bar{A})}{P(\bar{B})}","1-P(A / \bar{B})","1 - P(A/B)",""
"260362","Probability","Conditional Probability (XII-13.1)","Let A and B be two events. If P (A) = 0.2, P (B) = 0.4, P (A B) = 0.6, then P (A|B) is equal to","0.5","0","0.8","0.3",""
"260364","Probability","Conditional Probability (XII-13.1)","Let A and B be two events such that P(A) = 0.6, P(B) = 0.2, and P(A | B) = 0.5. Then P (A |B ) equals","\frac{3}{8}","\frac{6}{7}","\frac{3}{10}","\frac{1}{10}",""
"260559","Probability","Conditional Probability (XII-13.1)","If P(A) = \frac{4}{5} , and P(A \cap B) = \frac{7}{10} then P(B|A) is equal to","\frac{1}{10}","\frac{7}{8}","\frac{17}{20}","\frac{1}{8}",""
"260561","Probability","Conditional Probability (XII-13.1)","If \mathrm{P}(\mathrm{A} \cap \mathrm{B})=\frac{7}{10} and P(B) = \frac{17}{20} , then P(\frac {A} {B}) equals","\frac{17}{20}","\frac{14}{17}","\frac{7}{8}","\frac{1}{8}",""
"260565","Probability","Conditional Probability (XII-13.1)","If P(A)=\frac{3}{10}, P(B)=\frac{2}{5} and P(A \cup B)=\frac{3}{5} , then P(B / A)+P(A / B) equals","\frac{1}{3}","\frac{5}{12}","\frac{1}{4}","\frac{7}{12}",""
"260568","Probability","Conditional Probability (XII-13.1)","If P(A) = \frac{2}{5} , P(B) = \frac{3}{10} and P(A \cap B)=\frac{1}{5} , then P\left(\frac{A^{\prime}}{B^{\prime}}\right) \cdot P\left(\frac{B^{\prime}}{A^{\prime}}\right) is equal to","\frac{5}{7}","\frac{25}{42}","\frac{5}{6}","1",""
"260572","Probability","Conditional Probability (XII-13.1)","If A and B are two events such that P(A) = \frac{1}{2} , P(B) = \frac{1}{3} , P(\frac {A}{ B})=\frac{1}{4} then \mathrm{P}\left(\mathrm{A}^{\prime} \cap \mathrm{B'}\right) equals","\frac{1}{12}","\frac{3}{4}","\frac{3}{16}","\frac{1}{4}",""
"260577","Probability","Conditional Probability (XII-13.1)","If P(A) = 0.4, P(B) = 0.8 and P(B | A) = 0.6, then P(A B) is equal to","0.48","0.96","0.24","0.3",""
"260581","Probability","Conditional Probability (XII-13.1)","If P(B) = \frac{3}{5} , P(\frac {A}{ B})=\frac{1}{2} and P(A \cup B)=\frac{4}{5} , then P(A \cup B) + P(A \cup B) =","\frac{4}{5}","1","\frac{1}{5}","\frac{1}{2}",""
"260583","Probability","Conditional Probability (XII-13.1)","If it is given that A and B are two events such that P(B) = \frac{3}{5} , P(\frac {A}{ B})=\frac{1}{2} and P(A \cup B)=\frac{4}{5} , P\left(B | A^{\prime}\right) is equal to","\frac{3}{10}","\frac{3}{5}","\frac{1}{5}","\frac{1}{2}",""
"260627","Probability","Conditional Probability (XII-13.1)","Let \mathrm{P}(\mathrm{A})=\frac{7}{13} , P(B)=\frac{9}{13} and \mathrm{P}(\mathrm{A} \cap \mathrm{B})=\frac{4}{13} . Then P\left(\frac{A^{\prime}}{B}\right) is equal to","\frac{5}{9}","\frac{4}{13}","\frac{6}{13}","\frac{4}{9}",""
"260629","Probability","Conditional Probability (XII-13.1)","If A and B are such events that P(A) > 0 and P(B) \ne 1, then P(A'/B') equals.","1-P(A' / B)","1-P(A / B)","\frac{1-\mathrm{P}(\mathrm{A} \cup \mathrm{B})}{\mathrm{P}(\mathrm{B'})}","P\left(A^{\prime}\right) / P\left(B^{\prime}\right)",""
"260630","Probability","Conditional Probability (XII-13.1)","If A and B are two independent events with \mathrm{P}(\mathrm{A})=\frac{3}{5} and P(B)=\frac{4}{9} , then \mathrm{P}\left(\mathrm{A}^{\prime} \cap \mathrm{B'}\right) equals","\frac{1}{3}","\frac{2}{9}","\frac{8}{45}","\frac{4}{15}",""
"260634","Probability","Conditional Probability (XII-13.1)","Let A and B be two events such that P(A) = \frac{3}{8} , P(B) = \frac{5}{8} and \mathrm{P}(\mathrm{A} \cup \mathrm{B})=\frac{3}{4} . Then P(A | B) \cdot P\left(A^{\prime} / B\right) is equal to","\frac{2}{5}","\frac{3}{8}","\frac{6}{25}","\frac{3}{10}",""
"260642","Probability","Conditional Probability (XII-13.1)","Assume that in a family, each child is equally likely to be a boy or a girl. A family with three children is chosen at random. The probability that the eldest child is a girl given that the family has at least one girl is","\frac{2}{3}","\frac{4}{7}","\frac{1}{2}","\frac{1}{3}",""
"260643","Probability","Conditional Probability (XII-13.1)","A die is thrown and a card is selected at random from a deck of 52 playing cards. The probability of getting an even number on the die and a spade card is","\frac{1}{8}","\frac{1}{4}","\frac{3}{4}","\frac{1}{2}",""
"260657","Probability","Conditional Probability (XII-13.1)","In a college 30% students fail in physics, 25% fail in mathematics and 10% fail in both. One student is chosen at random. The probability that she fails in physics if she has failed in mathematics is","\frac{2}{5}","\frac{1}{3}","\frac{1}{10}","\frac{9}{20}",""
"260670","Probability","Conditional Probability (XII-13.1)","You are given that A and B are two events such that P(B) = \frac{3}{5} , P(A | B) = \frac{1}{2} and P(A B) = \frac{4}{5} , then P(A) equals","\frac{3}{10}","\frac{1}{5}","\frac{3}{5}","\frac{1}{2}",""
"260703","Probability","Conditional Probability (XII-13.1)","If A and B are two events and A \neq \phi, B \neq \phi , then","P(\frac {A}{B})= \frac {P(A) }{ P(B)}","P(\frac {A} { B})=\frac{P(A \cap B)}{P(B)}","P(\frac {A}{ B})=P(A) \cdot P(B)","P(\frac {A}{B}) P(\frac {B}{A}) = 1",""
"265050","Probability","Conditional Probability (XII-13.1)","If A and B are two events such that P(A)=\frac{4}{5} , and P(A \cap B)=\frac{7}{10} , then P (B / A) =","\frac1 {10}","\frac7 8","\frac1 8","\frac{17 }{ 20}",""
"268424","Probability","Conditional Probability (XII-13.1)","If A and B are two independent events such that P(A) = 0.3, P(A \cup B) = 0.5, then P(A / B) - P(B / A) =","\frac{1}{70}","\frac{2}{7}","\frac{1}{7}","\frac{3}{35}",""
"270094","Probability","Conditional Probability (XII-13.1)","If P(A)=\frac{1}{4}, P(B)=\frac{1}{3} and P(A \cap B)=\frac{1}{5} , then P(\bar{B} / \bar{A}) = ?","\frac{11}{15}","\frac{11}{45}","\frac{37}{60}","\frac{37}{45}",""
"270095","Probability","Conditional Probability (XII-13.1)","If A and B are events such that P(A) = 0.4, P(B) = 0.8 and P(B/A) = 0.6, then P(A/B) = ?","0.3","0.4","0.5","0.2",""
"270096","Probability","Conditional Probability (XII-13.1)","If A and B are independent events, then P(\bar{A} / \bar{B}) = ?","-P( \overline A / B)","1 - P(A)","1 - P(B)","1 - P(A / \overline B )",""
"270098","Probability","Conditional Probability (XII-13.1)","A die is thrown twice and the sum of the numbers appearing is observed to be 7. What is the conditional probability that the number 2 has appeared at least once?","\frac{1}{6}","\frac{3}{5}","\frac{1}{3}","\frac{2}{7}",""
"270101","Probability","Conditional Probability (XII-13.1)","In a class, 60% of the students read mathematics, 25% biology and 15% both mathematics and biology. One student is selected at random. What is the probability that he reads mathematics, if it is known that he reads biology?","\frac{3}{5}","\frac{5}{8}","\frac{3}{8}","\frac{2}{5}",""
"270102","Probability","Conditional Probability (XII-13.1)","A couple has 2 children. What is the probability that both are boys, if it is known that one of them is a boy?","\frac{3}{4}","\frac{1}{3}","\frac{2}{3}","\frac{1}{4}",""
"270103","Probability","Conditional Probability (XII-13.1)","An unbiased die is tossed twice. What is the probability of getting a 4, 5 or 6 on the first toss and a 1, 2, 3 or 4 on the second toss?","\frac{5}{6}","\frac{2}{3}","\frac{1}{3}","\frac{3}{4}",""
"495466","Probability","Conditional Probability (XII-13.1)","Suppose A and B are two events. Event B has occurred and it is known that P(B) < 1. What is P(A/B') equal to?","\frac{P(A)-P(B)}{1-P(B)}","\frac{P(A)+P\left(AB^{\prime}\right)}{1-P(B)}","\frac{P(A)+P\left(B^{\prime}\right)}{1-P(B)}","\frac{P(A)-P(A B)}{1-P(B)}",""
"495507","Probability","Conditional Probability (XII-13.1)","If A \subseteq B, then which one of the following is not correct?","P(A/B) = \frac{P(A)}{P(B)}","P(A \cap \bar{B} ) = 0","P(B/A) = \frac{P(B)}{P(A)}","P(A/(A \cup B)) = \frac{P(A)}{P(B)}",""
"495534","Probability","Conditional Probability (XII-13.1)","Two events A and B are such that P (not B) = 0.8, P (A \cup B) = 0.5 and P (A/B) = 0.4. Then, P(A) is equal to","0.28","0.42","0.38","0.32",""
"495553","Probability","Conditional Probability (XII-13.1)","For two mutually exclusive events A and B, P(A) = 0.2 and P (\bar{A} \cap B) = 0.3. What is P(A|(A \cup B)) equal to?","\frac{1}{2}","\frac{2}{7}","\frac{2}{5}","\frac{2}{3}",""
"511141","Probability","Conditional Probability (XII-13.1)","If two events A and B are such that P(A c ) = 0.3, P(B) = 0.4 and P(AB c ) = 0.5, then P (\frac {B}{A \cup B^C}) equals:","0.25","0.8","0.5","0.2",""
"511477","Probability","Conditional Probability (XII-13.1)","If at least one child in a family with 3 children is a boy then the probability that exactly 2 of the children are boys, is:","\frac {1}{3}","\frac {4}{7}","\frac {3}{7}","\frac {3}{8}",""
"523647","Probability","Conditional Probability (XII-13.1)","Each of the three fair coins has been painted on its two sides. The first coin is red on one side and blue on the other. The second coin is blue on one side and green on the other. The third coin is green on one side and red on the other. If the three coins are tossed in the air, the probability that the coins show up three different colours is:","\frac {4}{8}","\frac {3}{8}","\frac {5}{8}","\frac {2}{8}",""
"524300","Probability","Conditional Probability (XII-13.1)","From a group of 10 men and 5 women, four-member committees are to be formed each of which must contain at least one woman. Then the probability for these committees to have more women than men, is:","\frac{1}{11}","\frac{2}{23}","\frac{21}{220}","\frac{3}{11}",""
"524494","Probability","Conditional Probability (XII-13.1)","A die is thrown two times and the sum of the scores appearing on the die is observed to be a multiple of 4. Then the conditional probability that the score 4 has appeared at least once is:","\frac{1}{9}","\frac{1}{4}","\frac{1}{8}","\frac{1}{3}",""
"536132","Probability","Conditional Probability (XII-13.1)","It is given that the events A and B are such that P(A) = \frac{1}{4} , P(A|B) = \frac{1}{2} and P(B|A) = \frac{2}{3} . Then, P(B) is:","\frac{1}{3}","\frac{1}{6}","\frac{2}{3}","\frac{1}{2}",""
"536133","Probability","Conditional Probability (XII-13.1)","Ram is visiting a friend. Ram knows that his friend has 2 children and 1 of them is a boy. Assuming that a child is equally likely to be a boy or a girl, then the probability that the other child is a girl, is:","\frac{1}{3}","\frac{2}{3}","\frac{7}{10}","\frac{1}{2}",""
"536135","Probability","Conditional Probability (XII-13.1)","A coin is tossed three times in succession. If E is the event that there are at least two heads and F is the event in which first toss is a head, then P (E|F) =","\frac{3}{4}","\frac{1}{2}","\frac{3}{8}","\frac{1}{8}",""
"536145","Probability","Conditional Probability (XII-13.1)","The probability of choosing an integer k, randomly from the integers 1, 2, 3, ..., 2n is proportional to log k. The conditional probability of choosing integer 2, given that an even integer is chosen, is:","\frac{\log n}{n \log 2+\log (n !)}","\frac{\log 2}{\log 2+\log (n !)}","\frac{1}{\log (n !)}","\frac{\log 2}{n \log 2+\log (n !)}",""
"536146","Probability","Conditional Probability (XII-13.1)","Let n \in N. A box contains non-congruent triangular pieces with integer side lengths from n + 1 to 2n inclusive. A piece is taken out, given that it has two equal sides, the probability that the triangle is an equilateral triangle is:","\frac{1}{n}","\frac{n^{2}}{{ }^{n+2} \mathrm{C}_{3}}","\frac{n}{{ }^{n+2} \mathrm{C}_{3}}","\frac{1}{n^{2}}",""
"1058426","Probability","Conditional Probability (XII-13.1)","Let M be the maximum value of the product of two positive integers when their sum is 66. Let the sample space S = {x \in Z : x(66 - x) \geq \frac 59 M} and the event A = {x \in S : x is a multiple of 3}. Then P(A) is equal to","\frac {15}{44}","\frac 15","\frac {7}{22}","\frac 13",""
"1059480","Probability","Conditional Probability (XII-13.1)","Let A and b be two events such that P( \frac BA ) = \frac25 , P( \frac A B ) = \frac{1}{7} and P(A \cap B)=\frac{1}{9} . Consider (S 1): \mathrm{P}(A \cup B)=\frac{5}{6} (S 2): \mathrm{P}(A \cap B)=\frac{1}{18}","Only (S1) is true","Both (S1) and (S2) are false","Only (S2) is true","Both (S1) and (S2) are true",""
"1059688","Probability","Conditional Probability (XII-13.1)","Let A and B be two non-null events such that A \subset B . Then, which of the following statements is always correct?","P(A|B) = P(B) - P(A)","P(A|B) \leq P(A)","P(A|B) \geq P(A)","P(A|B) = 1",""
"1059748","Probability","Conditional Probability (XII-13.1)","Consider three sets E 1 = {1, 2, 3}, F 1 = {1, 3, 4} and G 1 = {2, 3, 4, 5}. Two elements are chosen at random, without replacement, from the set E 1 , and let S 1 denote the set of these chosen elements. Let E 2 = E 1 - S 1 and F 2 = F 1 \cup S 1 . Now two elements are chosen at random, without replacement, from the set F 2 and let S 2 denote the set of these chosen elements. Let G 2 = G 1 \cup S 2 . Finally, two elements are chosen at random, without replacement, from the set G 2 and let S 3 denote the set of these chosen elements. Let E 3 = E 2 \cup S 3 . Given that E 1 = E 3 , let p be the conditional probability of the event S 1 = {1, 2}. Then the value of p is","\frac25","\frac15","\frac12","\frac35",""
"1686165","Probability","Conditional Probability (XII-13.1)","A pack of cards has one card missing. Two cards are drawn randomly and are found to be spades. The probability that the missing card is not a spade, is:","\frac{22}{425}","\frac{52}{867}","\frac{3}{4}","\frac{39}{50}",""
"1686310","Probability","Conditional Probability (XII-13.1)","The mean of 6 distinct observations is 6.5 and their variance is 10.25. If 4 out of 6 observations are 2,4,5 and 7, then the remaining two observations are:","8, 13","3, 18","1, 20","10, 11",""
"19446","Probability","Multiplication Theorem on Probability (XII-13.2)","A drawer contains 5 brown socks and 4 blue socks well mixed. A man reaches the drawer and pulls out socks at random. What is the probability that they match?","\frac{5}{8}","\frac{5}{9}","\frac{4}{9}","\frac{7}{12}",""
"19473","Probability","Multiplication Theorem on Probability (XII-13.2)","The letters of the word ORIENTAL are arranged in all possible ways. The chance that the consonants and vowels occur alternately is","\frac{1}{35}","\frac{2}{35}","\frac{3}{35}","\frac{1}{70}",""
"19477","Probability","Multiplication Theorem on Probability (XII-13.2)","If {E_1} and {E_2} are two independent events, then P \left( {{E_1} \cap {E_2}} \right) is equal to","P\left( {{E_1})+\;P\;({E_2}} \right)","P\left( {{E_1})P({E_2}} \right)","P\left( {{E_1}) + P({E_2}} \right) + P({E_1} + \cup {E_2})","P\left( {{E_1})-\;P\;({E_2}} \right)",""
"19480","Probability","Multiplication Theorem on Probability (XII-13.2)","If the probability for A to fail in an examination is 0.2 and that for B is 0.3, then the probability that either A fails or B fails is","0.06","0.5","0.08","0.44",""
"19487","Probability","Multiplication Theorem on Probability (XII-13.2)","The probability that a man will live for 10 more years is \frac 14 and that his wife will live 10 more years is \frac 13 . The probability that neither will be alive in 10 years is","\frac {5} {12}","\frac {7}{12}","\frac 12","\frac {11}{12}",""
"19501","Probability","Multiplication Theorem on Probability (XII-13.2)","A coin is tossed 6 times. The probability of getting a head three times is","\frac{5}{16}","\frac{3}{64}","\frac{1}{2}","\frac{1}{ 8}",""
"19506","Probability","Multiplication Theorem on Probability (XII-13.2)","From each of the four married couples, one of the partners is selected at random. The probability that those selected are of the same sex is","\frac{1}{2}","\frac{1}{8}","\frac{1}{16}","\frac{1}{4}",""
"19508","Probability","Multiplication Theorem on Probability (XII-13.2)","The letters of the word PROBABILITY are arranged in all possible ways. The chance that two B s and also two I s occur together is","\frac{2}{165}","\frac{2} {55}","\frac{1}{55}","\frac{4} {165}",""
"19511","Probability","Multiplication Theorem on Probability (XII-13.2)","A five digit number is formed by the digits 1, 2, 3, 4, 5, 6 and 8. The probability that the number has even digit at both ends is","\frac{1}{3}","\frac {2}{7}","\frac{2}{9}","\frac{1}{5}",""
"230643","Probability","Multiplication Theorem on Probability (XII-13.2)","In a random experiment, a fair die is rolled until two fours are obtained in succession. The probability that the experiment will end in the fifth throw of the die is equal to","\frac{150}{6^{5}}","\frac{200}{6^{5}}","\frac{175}{6^{5}}","\frac{225}{6^{5}}",""
"230839","Probability","Multiplication Theorem on Probability (XII-13.2)","There are four machines and it is known that exactly two of them are faulty. They are tested, one by one, in a random order till both the faulty machines are identified. Then, the probability that only two tests are needed, is","\frac{1}{6}","\frac{1}{4}","\frac{1}{2}","\frac{1}{3}",""
"230852","Probability","Multiplication Theorem on Probability (XII-13.2)","Two cards are drawn successively with replacement from a pack of 52 cards. The probability of drawing two aces is","\frac{4}{663}","\frac{1}{169}","\frac{1}{2652}","\frac{1}{221}",""
"230875","Probability","Multiplication Theorem on Probability (XII-13.2)","A pot contains 5 red and 2 green balls. At random a ball is drawn from this pot. If a drawn ball is green then put a red ball in the pot and if a drawn ball is red, then put a green ball in the pot, while the drawn ball is not replaced in the pot. Now we draw another ball randomly, the probability of the second ball to be red is","\frac{32}{49}","\frac{27}{49}","\frac{21}{49}","\frac{26}{49}",""
"230877","Probability","Multiplication Theorem on Probability (XII-13.2)","A bag contains 4 red and 6 black balls. A ball is drawn at random from the bag, its colour is observed and this ball along with two additional balls of the same colour are returned to the bag. If now a ball is drawn at random from the bag, then the probability that this drawn ball is red, is","\frac{3}{4}","\frac{1}{5}","\frac{2}{5}","\frac{3}{10}",""
"260639","Probability","Multiplication Theorem on Probability (XII-13.2)","A bag contains 5 red and 3 blue balls. If 3 balls are drawn at random without replacement the probability of getting exactly one red ball is","\frac{15}{56}","\frac{135}{392}","\frac{45}{196}","\frac{15}{29}",""
"260640","Probability","Multiplication Theorem on Probability (XII-13.2)","A bag contains 5 red and 3 blue balls. If 3 balls are drawn at random without replacement the the probability that exactly two of the three balls were red, the first ball being red, is","\frac{4}{7}","\frac{1}{3}","\frac{5}{28}","\frac{15}{28}",""
"260644","Probability","Multiplication Theorem on Probability (XII-13.2)","A box contains 3 orange balls, 3 green balls and 2 blue balls. Three balls are drawn at random from the box without replacement. The probability of drawing 2 green balls and one blue ball is","\frac{1}{28}","\frac{2}{21}","\frac{3}{28}","\frac{167}{168}",""
"260645","Probability","Multiplication Theorem on Probability (XII-13.2)","A flashlight has 8 batteries out of which 3 are dead. If two batteries are selected without replacement and tested, the probability that both are dead is","\frac{33}{56}","\frac{9}{64}","\frac{3}{28}","\frac{1}{14}",""
"260650","Probability","Multiplication Theorem on Probability (XII-13.2)","Two cards are drawn from a well shuffled deck of 52 playing cards with replacement. The probability, that both cards are queens, is","\frac{1}{13} \times \frac{1}{13}","\frac{1}{13} \times \frac{4}{51}","\frac{1}{13} \times \frac{1}{17}","\frac{1}{13}+\frac{1}{13}",""
"264793","Probability","Multiplication Theorem on Probability (XII-13.2)","If one ball is drawn at random from each of three boxes containing 3 white and 1 black, 2 white and 2 black, 1 white and 3 black balls, then the probability that 2 white and 1 black balls will be drawn is","\frac{1}{32}","\frac{13}{32}","\frac{1}{4}","\frac{3}{16}",""
"511071","Probability","Multiplication Theorem on Probability (XII-13.2)","Two cards are drawn from a well shuffled pack of 52 playing cards one by one without replacement. If: A : the event that the second card drawn is an ace and B : the event that the first card drawn is an ace card, then which of the following is true?","P(A) = \frac{16}{221} ; P(B) = \frac{4}{51}","P(A) = \frac{1}{13} ; P(B) = \frac{1}{17}","P(A) = \frac{4}{17} ; P (B) = \frac{1}{13}","P(A) = \frac{1}{13} ; P(B) = \frac{1}{13}",""
